Abstract_tokens,DocTitle_tokens,phase,Publication Year,extended
"['objective', 'review', 'status', 'sar', 'processing', 'toolbox', 'objective', 'education', 'field', 'sar', 'dataanalysis', 'university', 'suite', 'function', 'exploitation', 'foundation', 'exploitation']","['advance', 'opensource', 'toolbox', 'sar', 'processing']",phase1,2010,"['objective', 'review', 'status', 'sar', 'processing', 'toolbox', 'objective', 'education', 'field', 'sar', 'dataanalysis', 'university', 'suite', 'function', 'exploitation', 'foundation', 'exploitation', 'advance', 'opensource', 'toolbox', 'sar', 'processing']"
"['trip', 'pattern', 'sharing', 'station', 'scheduling', 'trip', 'pattern', 'trip', 'station', 'privacy', 'concern', 'trip', 'survey', 'simulation', 'trip', 'pattern', 'station', 'status', 'station', 'station', 'status', 'observation', 'station', 'trip', 'sample', 'trip', 'insight', 'structure', 'trip', 'trip', 'inference', 'trip', 'dataset', 'trip', 'pattern']","['trip', 'pattern', 'sharing', 'opendata']",phase3,2015,"['trip', 'pattern', 'sharing', 'station', 'scheduling', 'trip', 'pattern', 'trip', 'station', 'privacy', 'concern', 'trip', 'survey', 'simulation', 'trip', 'pattern', 'station', 'status', 'station', 'station', 'status', 'observation', 'station', 'trip', 'sample', 'trip', 'insight', 'structure', 'trip', 'trip', 'inference', 'trip', 'dataset', 'trip', 'pattern', 'trip', 'pattern', 'sharing', 'opendata']"
"['publication', 'sharing', 'semanticweb', 'opportunity', 'processing', 'rdf', 'cube', 'vocabulary', 'standard', 'publishing', 'concept', 'dimension', 'function', 'annotation', 'user', 'query', 'sparql', 'query', 'language', 'rdf', 'user', 'rdf', 'sparql', 'skill', 'transformation', 'enrichment', 'semantic', 'exploration', 'schema', 'language', 'sparql']",['opendata'],phase3,2016,"['publication', 'sharing', 'semanticweb', 'opportunity', 'processing', 'rdf', 'cube', 'vocabulary', 'standard', 'publishing', 'concept', 'dimension', 'function', 'annotation', 'user', 'query', 'sparql', 'query', 'language', 'rdf', 'user', 'rdf', 'sparql', 'skill', 'transformation', 'enrichment', 'semantic', 'exploration', 'schema', 'language', 'sparql', 'opendata']"
"['measurement', 'potential', 'protection', 'control', 'function', 'grid', 'measurement', 'unit', 'manner', 'user', 'author', 'goal', 'function', 'module', 'change', 'intention', 'effort', 'person', 'component', 'exchange', 'schema', 'module', 'ease', 'estimation', 'algorithm', 'signal', 'acquisition', 'communication', 'component', 'simulation', 'environment']","['measurement', 'unit', 'opendata', 'exchange']",phase4,2017,"['measurement', 'potential', 'protection', 'control', 'function', 'grid', 'measurement', 'unit', 'manner', 'user', 'author', 'goal', 'function', 'module', 'change', 'intention', 'effort', 'person', 'component', 'exchange', 'schema', 'module', 'ease', 'estimation', 'algorithm', 'signal', 'acquisition', 'communication', 'component', 'simulation', 'environment', 'measurement', 'unit', 'opendata', 'exchange']"
"['enterprise', 'network', 'input', 'feedback', 'advance', 'map', 'paradigm', 'opportunity', 'analytic', 'sentiment']","['hadoop', 'opensource']",phase3,2015,"['enterprise', 'network', 'input', 'feedback', 'advance', 'map', 'paradigm', 'opportunity', 'analytic', 'sentiment', 'hadoop', 'opensource']"
"['access', 'sensor', 'opportunity', 'authentication', 'ontology', 'ontology', 'vocabulary', 'spatio', 'ontology', 'resource', 'description', 'framework', 'rdf', 'recommendation', 'knowledge', 'recommendation', 'web', 'scale', 'datamining', 'knowledge', 'extraction', 'knowledge', 'representation', 'optimization', 'accessibility', 'usability', 'bigdata', 'cost', 'rdf', 'representation', 'ontology', 'cloud', 'environment']","['spatio', 'ontology', 'cloud']",phase2,2013,"['access', 'sensor', 'opportunity', 'authentication', 'ontology', 'ontology', 'vocabulary', 'spatio', 'ontology', 'resource', 'description', 'framework', 'rdf', 'recommendation', 'knowledge', 'recommendation', 'web', 'scale', 'datamining', 'knowledge', 'extraction', 'knowledge', 'representation', 'optimization', 'accessibility', 'usability', 'bigdata', 'cost', 'rdf', 'representation', 'ontology', 'cloud', 'environment', 'spatio', 'ontology', 'cloud']"
"['statistic', 'series', 'scale', 'product', 'earth', 'observation', 'opendata', 'cube', 'earth', 'overview', 'order', 'algorithm']","['cube', 'product', 'statistic', 'series']",phase4,2018,"['statistic', 'series', 'scale', 'product', 'earth', 'observation', 'opendata', 'cube', 'earth', 'overview', 'order', 'algorithm', 'cube', 'product', 'statistic', 'series']"
"['customer', 'relationship', 'management', 'sector', 'enterprise', 'growth', 'bigdata', 'evolution', 'bigdata', 'stack', 'apache', 'enterprise', 'database', 'stack', 'opensource', 'stack', 'hadoop', 'today', 'enterprise', 'choice', 'stack', 'bigdata', 'literature', 'enterprise', 'bigdata', 'pipeline', 'component', 'question', 'enterprise', 'pipeline', 'building', 'block', 'pipeline', 'step', 'processing', 'question', 'scale', 'customer', 'pipeline', 'pipeline', 'hadoop', 'task', 'sampling', 'extraction']","['bigdata', 'mining', 'pipeline']",phase3,2015,"['customer', 'relationship', 'management', 'sector', 'enterprise', 'growth', 'bigdata', 'evolution', 'bigdata', 'stack', 'apache', 'enterprise', 'database', 'stack', 'opensource', 'stack', 'hadoop', 'today', 'enterprise', 'choice', 'stack', 'bigdata', 'literature', 'enterprise', 'bigdata', 'pipeline', 'component', 'question', 'enterprise', 'pipeline', 'building', 'block', 'pipeline', 'step', 'processing', 'question', 'scale', 'customer', 'pipeline', 'pipeline', 'hadoop', 'task', 'sampling', 'extraction', 'bigdata', 'mining', 'pipeline']"
"['library', 'forest', 'aperture', 'radar', 'library', 'vehicle', 'aperture', 'radar', 'sensor', 'library', 'function', 'visualization', 'region', 'optimization', 'volume', 'ground', 'forest', 'forest', 'map', 'output', 'product', 'format', 'validation', 'user', 'community', 'education', 'license', 'code', 'download']","['opensource', 'python', 'library', 'forest', 'estimation']",phase4,2017,"['library', 'forest', 'aperture', 'radar', 'library', 'vehicle', 'aperture', 'radar', 'sensor', 'library', 'function', 'visualization', 'region', 'optimization', 'volume', 'ground', 'forest', 'forest', 'map', 'output', 'product', 'format', 'validation', 'user', 'community', 'education', 'license', 'code', 'download', 'opensource', 'python', 'library', 'forest', 'estimation']"
"['apache', 'framework', 'interface', 'bigdata', 'processing', 'paradigm']","['bigdata', 'possibility', 'apache']",phase4,2017,"['apache', 'framework', 'interface', 'bigdata', 'processing', 'paradigm', 'bigdata', 'possibility', 'apache']"
"['dataset', 'network', 'automation', 'dataset', 'series', 'sampling', 'rate', 'observation', 'resource', 'network', 'operation', 'radio', 'computing', 'network', 'resource', 'variety', 'feature', 'radio', 'metric', 'server', 'operating', 'network', 'function', 'metric', 'creation', 'traffic', 'traffic', 'trace', 'network', 'operator']","['opendataset', 'network', 'automation', 'experiment']",phase5,2022,"['dataset', 'network', 'automation', 'dataset', 'series', 'sampling', 'rate', 'observation', 'resource', 'network', 'operation', 'radio', 'computing', 'network', 'resource', 'variety', 'feature', 'radio', 'metric', 'server', 'operating', 'network', 'function', 'metric', 'creation', 'traffic', 'traffic', 'trace', 'network', 'operator', 'opendataset', 'network', 'automation', 'experiment']"
"['parameter', 'community', 'edge', 'satellite', 'statistic', 'formulation', 'flow', 'sequence', 'satellite', 'observation', 'evolution', 'capability', 'resolution', 'coverage', 'flow', 'rate', 'volume', 'algorithm', 'flow', 'extent', 'google', 'earth', 'engine', 'platform', 'advantage', 'variety', 'satellite', 'sensor', 'radar', 'flow', 'algorithm', 'accuracy', 'reliability', 'flow', 'mapping']","['mapping', 'google', 'earth', 'engine', 'access', 'satellite']",phase5,2021,"['parameter', 'community', 'edge', 'satellite', 'statistic', 'formulation', 'flow', 'sequence', 'satellite', 'observation', 'evolution', 'capability', 'resolution', 'coverage', 'flow', 'rate', 'volume', 'algorithm', 'flow', 'extent', 'google', 'earth', 'engine', 'platform', 'advantage', 'variety', 'satellite', 'sensor', 'radar', 'flow', 'algorithm', 'accuracy', 'reliability', 'flow', 'mapping', 'mapping', 'google', 'earth', 'engine', 'access', 'satellite']"
"['recovery', 'phone', 'field', 'history', 'text', 'message', 'phone', 'internet', 'web', 'medium', 'file', 'toolkit', 'workflow', 'analyst', 'phone', 'toolkit', 'device', 'intelligence', 'feature', 'toolkit']","['recovery', 'device', 'opensource', 'toolkit']",phase2,2013,"['recovery', 'phone', 'field', 'history', 'text', 'message', 'phone', 'internet', 'web', 'medium', 'file', 'toolkit', 'workflow', 'analyst', 'phone', 'toolkit', 'device', 'intelligence', 'feature', 'toolkit', 'recovery', 'device', 'opensource', 'toolkit']"
"['purpose', 'center', 'supply', 'air', 'presence', 'flow', 'rate', 'consideration', 'pressure', 'modeling', 'life', 'center', 'flow', 'rate', 'center', 'performance', 'location', 'temperature', 'return', 'temperature', 'distribution', 'change', 'operating', 'point', 'curve', 'flow', 'equipment', 'load', 'center']","['investigation', 'center', 'curve']",phase2,2014,"['purpose', 'center', 'supply', 'air', 'presence', 'flow', 'rate', 'consideration', 'pressure', 'modeling', 'life', 'center', 'flow', 'rate', 'center', 'performance', 'location', 'temperature', 'return', 'temperature', 'distribution', 'change', 'operating', 'point', 'curve', 'flow', 'equipment', 'load', 'center', 'investigation', 'center', 'curve']"
"['lod', 'semanticweb', 'lod', 'quantity', 'lack', 'user', 'interface', 'mechanism', 'resource', 'exploration', 'user', 'proof', 'concept', 'user', 'concept', 'semanticweb', 'kind', 'gap', 'search', 'user', 'aspect', 'concept', 'aggregation', 'framework', 'resource', 'search', 'mechanism', 'search', 'logic', 'lod', 'user', 'interface', 'user', 'knowledge', 'structure']","['concept', 'aggregation', 'framework', 'aspect', 'opendata']",phase1,2009,"['lod', 'semanticweb', 'lod', 'quantity', 'lack', 'user', 'interface', 'mechanism', 'resource', 'exploration', 'user', 'proof', 'concept', 'user', 'concept', 'semanticweb', 'kind', 'gap', 'search', 'user', 'aspect', 'concept', 'aggregation', 'framework', 'resource', 'search', 'mechanism', 'search', 'logic', 'lod', 'user', 'interface', 'user', 'knowledge', 'structure', 'concept', 'aggregation', 'framework', 'aspect', 'opendata']"
"['navigation', 'satellite', 'positioning', 'gps', 'european', 'satellite', 'navigation', 'signal', 'signal', 'component', 'pilot', 'channel', 'existence', 'channel', 'signal', 'author', 'performance', 'implementation', 'strategy', 'ii', 'pilot', 'iii', 'pilot', 'receiver', 'mode', 'reference', 'receiver', 'reference', 'receiver', 'simulation', 'opensource', 'signal', 'simulator', 'signal', 'space', 'interface', 'control', 'document', 'simulation', 'acquisition', 'channel', 'signal', 'pilot', 'channel', 'power', 'pilot', 'channel', 'signal', 'detection', 'simulation', 'context', 'pilot', 'channel', 'improvement', 'channel', 'term', 'error', 'performance', 'reference', 'receiver', 'reference', 'receiver', 'finding', 'pilot', 'combination', 'simulator', 'signal', 'account', 'receiver', 'mode', 'access', 'purpose']","['pilot', 'acquisition', 'tracking', 'signal']",phase1,2010,"['navigation', 'satellite', 'positioning', 'gps', 'european', 'satellite', 'navigation', 'signal', 'signal', 'component', 'pilot', 'channel', 'existence', 'channel', 'signal', 'author', 'performance', 'implementation', 'strategy', 'ii', 'pilot', 'iii', 'pilot', 'receiver', 'mode', 'reference', 'receiver', 'reference', 'receiver', 'simulation', 'opensource', 'signal', 'simulator', 'signal', 'space', 'interface', 'control', 'document', 'simulation', 'acquisition', 'channel', 'signal', 'pilot', 'channel', 'power', 'pilot', 'channel', 'signal', 'detection', 'simulation', 'context', 'pilot', 'channel', 'improvement', 'channel', 'term', 'error', 'performance', 'reference', 'receiver', 'reference', 'receiver', 'finding', 'pilot', 'combination', 'simulator', 'signal', 'account', 'receiver', 'mode', 'access', 'purpose', 'pilot', 'acquisition', 'tracking', 'signal']"
"['performance', 'network', 'reality', 'iot', 'power', 'standardization', 'group', 'internet', 'engineering', 'task', 'force', 'configuration', 'monitoring', 'control', 'building', 'city', 'agriculture', 'standardization', 'stakeholder', 'resource', 'assurance', 'requirement', 'performance', 'benchmark', 'standard', 'industry', 'community', 'standardization', 'group', 'opendata', 'action', 'benchmark', 'opendataset', 'industry', 'scenario', 'experimentation', 'scenario', 'standard', 'comparison', 'delivery', 'community', 'definition', 'scenario', 'performance', 'indicator', 'usage']",['action'],phase4,2018,"['performance', 'network', 'reality', 'iot', 'power', 'standardization', 'group', 'internet', 'engineering', 'task', 'force', 'configuration', 'monitoring', 'control', 'building', 'city', 'agriculture', 'standardization', 'stakeholder', 'resource', 'assurance', 'requirement', 'performance', 'benchmark', 'standard', 'industry', 'community', 'standardization', 'group', 'opendata', 'action', 'benchmark', 'opendataset', 'industry', 'scenario', 'experimentation', 'scenario', 'standard', 'comparison', 'delivery', 'community', 'definition', 'scenario', 'performance', 'indicator', 'usage', 'action']"
"['measurement', 'unit', 'power', 'increase', 'archive', 'measurement', 'utility', 'archive', 'frequency', 'response', 'signal', 'power', 'plant', 'validation', 'utility', 'archive', 'grid', 'period', 'archive', 'interaction']","['power', 'archive']",phase5,2020,"['measurement', 'unit', 'power', 'increase', 'archive', 'measurement', 'utility', 'archive', 'frequency', 'response', 'signal', 'power', 'plant', 'validation', 'utility', 'archive', 'grid', 'period', 'archive', 'interaction', 'power', 'archive']"
"['relationship', 'variable', 'exploration', 'trend', 'pattern', 'location', 'cluster', 'outlier', 'algorithm', 'cluster', 'dataset', 'exploration', 'dataset', 'framework', 'health', 'care', 'government', 'york', 'algorithm', 'cluster', 'trend', 'labor', 'force', 'participation', 'perspective', 'period', 'practitioner', 'increase', 'practitioner', 'code', 'github']","['framework', 'exploration', 'bigdata', 'health', 'care']",phase4,2017,"['relationship', 'variable', 'exploration', 'trend', 'pattern', 'location', 'cluster', 'outlier', 'algorithm', 'cluster', 'dataset', 'exploration', 'dataset', 'framework', 'health', 'care', 'government', 'york', 'algorithm', 'cluster', 'trend', 'labor', 'force', 'participation', 'perspective', 'period', 'practitioner', 'increase', 'practitioner', 'code', 'github', 'framework', 'exploration', 'bigdata', 'health', 'care']"
"['collaboration', 'trend', 'literature', 'difficulty', 'collaboration', 'lack', 'standardization', 'implementation', 'architecture', 'component', 'field', 'opendata', 'mechanism', 'communication', 'proposal', 'opendata', 'combination', 'ecosystem', 'reference', 'option', 'collaboration']","['collaboration', 'opendata', 'architecture']",phase5,2022,"['collaboration', 'trend', 'literature', 'difficulty', 'collaboration', 'lack', 'standardization', 'implementation', 'architecture', 'component', 'field', 'opendata', 'mechanism', 'communication', 'proposal', 'opendata', 'combination', 'ecosystem', 'reference', 'option', 'collaboration', 'collaboration', 'opendata', 'architecture']"
"['experience', 'today', 'government', 'benefit', 'quality', 'public', 'step', 'evolution', 'perspective', 'knowledge', 'management', 'agency', 'implementation', 'ogd', 'reason', 'attempt', 'experience', 'sector', 'term', 'sector']",['ontology'],phase2,2014,"['experience', 'today', 'government', 'benefit', 'quality', 'public', 'step', 'evolution', 'perspective', 'knowledge', 'management', 'agency', 'implementation', 'ogd', 'reason', 'attempt', 'experience', 'sector', 'term', 'sector', 'ontology']"
"['sharing', 'contribution', 'science', 'creation', 'opendataset', 'advancement', 'effort', 'opendataset', 'standard', 'reproducibility', 'field', 'education', 'analytic', 'creation', 'dataset', 'education', 'student', 'format', 'generator', 'access', 'version', 'student', 'dataset', 'advantage', 'student', 'law', 'characteristic', 'learning', 'analytic', 'algorithm']","['generator', 'science', 'education', 'analytic']",phase4,2019,"['sharing', 'contribution', 'science', 'creation', 'opendataset', 'advancement', 'effort', 'opendataset', 'standard', 'reproducibility', 'field', 'education', 'analytic', 'creation', 'dataset', 'education', 'student', 'format', 'generator', 'access', 'version', 'student', 'dataset', 'advantage', 'student', 'law', 'characteristic', 'learning', 'analytic', 'algorithm', 'generator', 'science', 'education', 'analytic']"
"['battery', 'function', 'relationship', 'circuit', 'voltage', 'charge', 'environment', 'parameter', 'battery', 'matlab', 'package', 'measurement', 'group']","['circuit', 'voltage', 'battery']",phase4,2018,"['battery', 'function', 'relationship', 'circuit', 'voltage', 'charge', 'environment', 'parameter', 'battery', 'matlab', 'package', 'measurement', 'group', 'circuit', 'voltage', 'battery']"
"['japan', 'university', 'institution', 'reproducibility', 'integrity', 'science', 'japan', 'national', 'institute', 'generation', 'scale', 'science', 'framework', 'cloud', 'repository', 'trial', 'university', 'institute', 'integrity', 'science', 'japan', 'organization', 'code', 'github']","['datamanagement', 'japan', 'science', 'era']",phase4,2017,"['japan', 'university', 'institution', 'reproducibility', 'integrity', 'science', 'japan', 'national', 'institute', 'generation', 'scale', 'science', 'framework', 'cloud', 'repository', 'trial', 'university', 'institute', 'integrity', 'science', 'japan', 'organization', 'code', 'github', 'datamanagement', 'japan', 'science', 'era']"
"['process', 'address', 'process', 'limitation', 'privacy', 'concern', 'usage', 'impact', 'limitation', 'scale', 'strategy', 'healthcare', 'privacy', 'law', 'addition', 'regulation', 'transmission', 'sharing', 'implementation', 'organization', 'quality', 'assurance', 'implementation', 'framework', 'privacy', 'bigdata', 'quality', 'assurance', 'scale', 'bigdata', 'address', 'institution']","['privacy', 'bigdata']",phase4,2019,"['process', 'address', 'process', 'limitation', 'privacy', 'concern', 'usage', 'impact', 'limitation', 'scale', 'strategy', 'healthcare', 'privacy', 'law', 'addition', 'regulation', 'transmission', 'sharing', 'implementation', 'organization', 'quality', 'assurance', 'implementation', 'framework', 'privacy', 'bigdata', 'quality', 'assurance', 'scale', 'bigdata', 'address', 'institution', 'privacy', 'bigdata']"
"['sector', 'privacy', 'concern', 'user', 'privacy', 'perspective', 'privacy', 'context', 'experiment', 'experiment', 'video', 'location', 'risk', 'execution', 'attack', 'finding', 'risk', 'privacy', 'regulation', 'guideline']",['privacy'],phase5,2021,"['sector', 'privacy', 'concern', 'user', 'privacy', 'perspective', 'privacy', 'context', 'experiment', 'experiment', 'video', 'location', 'risk', 'execution', 'attack', 'finding', 'risk', 'privacy', 'regulation', 'guideline', 'privacy']"
"['internet', 'concept', 'company', 'cloud', 'user', 'company', 'center', 'layer', 'cost', 'flexibility', 'virtualization', 'center', 'switch', 'protocol', 'network', 'connection', 'machine', 'server', 'performance', 'protocol', 'center', 'test', 'environment', 'throughput', 'hardware', 'acceleration', 'performance', 'implementation', 'performance', 'throughput']","['performance', 'acceleration', 'center']",phase3,2016,"['internet', 'concept', 'company', 'cloud', 'user', 'company', 'center', 'layer', 'cost', 'flexibility', 'virtualization', 'center', 'switch', 'protocol', 'network', 'connection', 'machine', 'server', 'performance', 'protocol', 'center', 'test', 'environment', 'throughput', 'hardware', 'acceleration', 'performance', 'implementation', 'performance', 'throughput', 'performance', 'acceleration', 'center']"
"['field', 'opendata', 'gap', 'institution', 'opendata', 'citizen', 'awareness', 'quality', 'process', 'chart', 'creation', 'dataset', 'type', 'list', 'chart', 'dataset', 'field', 'catalogue', 'chart', 'space', 'chart', 'addition', 'barrier', 'opendata', 'quality', 'dataset', 'quality', 'awareness', 'quality', 'measurement', 'publisher', 'institution', 'quality', 'citizen', 'opendataset', 'reason', 'request']","['citizen', 'opendata']",phase3,2016,"['field', 'opendata', 'gap', 'institution', 'opendata', 'citizen', 'awareness', 'quality', 'process', 'chart', 'creation', 'dataset', 'type', 'list', 'chart', 'dataset', 'field', 'catalogue', 'chart', 'space', 'chart', 'addition', 'barrier', 'opendata', 'quality', 'dataset', 'quality', 'awareness', 'quality', 'measurement', 'publisher', 'institution', 'quality', 'citizen', 'opendataset', 'reason', 'request', 'citizen', 'opendata']"
"['order', 'user', 'experience', 'web', 'search', 'engine', 'user', 'item', 'result', 'recommendation', 'item', 'semanticweb', 'rdf', 'internet', 'knowledge', 'base', 'modeling', 'user', 'profile', 'environment', 'opendata', 'concept', 'user', 'history', 'user', 'profile', 'item', 'user', 'profile', 'recommendation', 'experiment', 'dataset', 'dbpedia', 'result', 'performance', 'recommendation']","['user', 'profile', 'opendata']",phase2,2014,"['order', 'user', 'experience', 'web', 'search', 'engine', 'user', 'item', 'result', 'recommendation', 'item', 'semanticweb', 'rdf', 'internet', 'knowledge', 'base', 'modeling', 'user', 'profile', 'environment', 'opendata', 'concept', 'user', 'history', 'user', 'profile', 'item', 'user', 'profile', 'recommendation', 'experiment', 'dataset', 'dbpedia', 'result', 'performance', 'recommendation', 'user', 'profile', 'opendata']"
"['earth', 'observation', 'eo', 'satellite', 'exploitation', 'sustainability', 'land', 'land', 'cover', 'change', 'water', 'resource', 'forest', 'monitoring', 'opendata', 'cube', 'odc', 'committee', 'earth', 'observation', 'satellite', 'ceo', 'computing', 'odc', 'eo', 'satellite', 'algorithm', 'barrier', 'user', 'odc', 'protocol', 'taiwan', 'forest', 'monitoring', 'attack', 'taiwan', 'implementation', 'platform', 'infrastructure', 'taiwan', 'cube', 'forest', 'monitoring', 'image', 'improvement', 'perspective', 'protocol', 'future', 'series', 'image', 'environment', 'datamanagement', 'user', 'interface', 'protocol', 'country', 'collaboration', 'ceo', 'organisation']","['opendata', 'cube', 'odc', 'taiwan', 'initiative', 'protocol']",phase4,2019,"['earth', 'observation', 'eo', 'satellite', 'exploitation', 'sustainability', 'land', 'land', 'cover', 'change', 'water', 'resource', 'forest', 'monitoring', 'opendata', 'cube', 'odc', 'committee', 'earth', 'observation', 'satellite', 'ceo', 'computing', 'odc', 'eo', 'satellite', 'algorithm', 'barrier', 'user', 'odc', 'protocol', 'taiwan', 'forest', 'monitoring', 'attack', 'taiwan', 'implementation', 'platform', 'infrastructure', 'taiwan', 'cube', 'forest', 'monitoring', 'image', 'improvement', 'perspective', 'protocol', 'future', 'series', 'image', 'environment', 'datamanagement', 'user', 'interface', 'protocol', 'country', 'collaboration', 'ceo', 'organisation', 'opendata', 'cube', 'odc', 'taiwan', 'initiative', 'protocol']"
"['algorithm', 'constraint', 'instance', 'filtering', 'detection', 'performance', 'core', 'feature', 'neighbor', 'classifier', 'architecture', 'algorithm', 'programming', 'language', 'variety', 'performance', 'database', 'sample', 'collection', 'loop', 'collection', 'evaluation', 'stage', 'testing', 'validation', 'improvement', 'performance', 'instance', 'algorithm']",[],phase2,2013,"['algorithm', 'constraint', 'instance', 'filtering', 'detection', 'performance', 'core', 'feature', 'neighbor', 'classifier', 'architecture', 'algorithm', 'programming', 'language', 'variety', 'performance', 'database', 'sample', 'collection', 'loop', 'collection', 'evaluation', 'stage', 'testing', 'validation', 'improvement', 'performance', 'instance', 'algorithm']"
"['extension', 'network', 'planning', 'gis', 'gis', 'database', 'network', 'optimization', 'city', 'user', 'traffic', 'demand', 'location', 'city', 'segment']","['extension', 'gis', 'network', 'planning']",phase4,2018,"['extension', 'network', 'planning', 'gis', 'gis', 'database', 'network', 'optimization', 'city', 'user', 'traffic', 'demand', 'location', 'city', 'segment', 'extension', 'gis', 'network', 'planning']"
"['distance', 'education', 'institution', 'lot', 'teaching', 'decision', 'tree', 'algorithm', 'decision', 'tree', 'algorithm', 'student', 'university', 'china', 'experiment', 'result', 'student', 'rule', 'teaching']","['decision', 'tree', 'student', 'university', 'china']",phase2,2014,"['distance', 'education', 'institution', 'lot', 'teaching', 'decision', 'tree', 'algorithm', 'decision', 'tree', 'algorithm', 'student', 'university', 'china', 'experiment', 'result', 'student', 'rule', 'teaching', 'decision', 'tree', 'student', 'university', 'china']"
"['enterprise', 'bigdata', 'opensource', 'transaction', 'processing', 'benchmark', 'potential', 'benchmark', 'discussion', 'platform', 'bigdata', 'analytic', 'environment', 'decision', 'making', 'capability', 'ease', 'energy']","['enterprise', 'bigdata']",phase2,2013,"['enterprise', 'bigdata', 'opensource', 'transaction', 'processing', 'benchmark', 'potential', 'benchmark', 'discussion', 'platform', 'bigdata', 'analytic', 'environment', 'decision', 'making', 'capability', 'ease', 'energy', 'enterprise', 'bigdata']"
"['prediction', 'variable', 'input', 'attribute', 'phenomenon', 'database', 'phenomenon', 'modeling', 'patient', 'health', 'prediction', 'variable', 'modeling', 'testing', 'process', 'algorithm', 'algorithm', 'modeling', 'testing', 'process', 'variable', 'knowledge', 'modeling', 'patient', 'record', 'association', 'recommendation', 'variable', 'risk', 'patient', 'variable', 'efficacy', 'warehouse', 'framework', 'institution', 'health', 'treatment', 'resource', 'management', 'patient']","['algorithm', 'evaluation', 'patient', 'warehouse']",phase4,2018,"['prediction', 'variable', 'input', 'attribute', 'phenomenon', 'database', 'phenomenon', 'modeling', 'patient', 'health', 'prediction', 'variable', 'modeling', 'testing', 'process', 'algorithm', 'algorithm', 'modeling', 'testing', 'process', 'variable', 'knowledge', 'modeling', 'patient', 'record', 'association', 'recommendation', 'variable', 'risk', 'patient', 'variable', 'efficacy', 'warehouse', 'framework', 'institution', 'health', 'treatment', 'resource', 'management', 'patient', 'algorithm', 'evaluation', 'patient', 'warehouse']"
"['experience', 'opendata', 'learning', 'performance', 'group', 'degree', 'engineering', 'university', 'openness', 'student', 'format', 'teaching', 'experience', 'student', 'scenario', 'opendata', 'goal', 'database', 'order', 'scenario', 'opendata', 'subject', 'entrepreneur', 'student', 'learning', 'survey', 'student', 'opendata', 'methodology', 'student']","['opendata', 'database']",phase2,2014,"['experience', 'opendata', 'learning', 'performance', 'group', 'degree', 'engineering', 'university', 'openness', 'student', 'format', 'teaching', 'experience', 'student', 'scenario', 'opendata', 'goal', 'database', 'order', 'scenario', 'opendata', 'subject', 'entrepreneur', 'student', 'learning', 'survey', 'student', 'opendata', 'methodology', 'student', 'opendata', 'database']"
"['principle', 'network', 'equipment', 'controller', 'interface', 'modelling', 'abstraction', 'agent', 'piece', 'network', 'controller', 'action', 'hardware', 'equipment', 'framework', 'agent', 'interaction', 'agent', 'hardware', 'equipment', 'advancement', 'framework', 'creation', 'agent', 'driver', 'initiative']","['framework', 'control', 'plane', 'network']",phase5,2020,"['principle', 'network', 'equipment', 'controller', 'interface', 'modelling', 'abstraction', 'agent', 'piece', 'network', 'controller', 'action', 'hardware', 'equipment', 'framework', 'agent', 'interaction', 'agent', 'hardware', 'equipment', 'advancement', 'framework', 'creation', 'agent', 'driver', 'initiative', 'framework', 'control', 'plane', 'network']"
"['structure', 'size', 'process', 'trust', 'inspection', 'structure', 'content', 'series', 'query', 'endpoint', 'query', 'feasibility', 'query', 'context']","['relevance', 'sparql', 'query']",phase2,2013,"['structure', 'size', 'process', 'trust', 'inspection', 'structure', 'content', 'series', 'query', 'endpoint', 'query', 'feasibility', 'query', 'context', 'relevance', 'sparql', 'query']"
"['identification', 'expert', 'field', 'task', 'setting', 'environment', 'domain', 'identification', 'expert', 'factor', 'publication', 'record', 'experience', 'expert', 'expert', 'country', 'university', 'record', 'contribution', 'conference', 'expert', 'extent', 'search', 'engine', 'nlp', 'emergence', 'dataset', 'opendata', 'movement', 'lod', 'search', 'expert', 'dataset', 'expert', 'profile', 'administration', 'peer', 'review', 'science', 'administration', 'science', 'topic']","['expert', 'profile', 'opendata']",phase1,2010,"['identification', 'expert', 'field', 'task', 'setting', 'environment', 'domain', 'identification', 'expert', 'factor', 'publication', 'record', 'experience', 'expert', 'expert', 'country', 'university', 'record', 'contribution', 'conference', 'expert', 'extent', 'search', 'engine', 'nlp', 'emergence', 'dataset', 'opendata', 'movement', 'lod', 'search', 'expert', 'dataset', 'expert', 'profile', 'administration', 'peer', 'review', 'science', 'administration', 'science', 'topic', 'expert', 'profile', 'opendata']"
"['radar', 'measure', 'ability', 'target', 'radar', 'energy', 'range', 'target', 'radar', 'reduction', 'order', 'detection', 'range', 'target', 'aim', 'step', '3d', 'target', '3d', 'video', 'code', 'matlab', 'range']","['3d', 'modelling', 'target', 'purpose', 'radar', 'prediction', 'image', 'opensource']",phase4,2017,"['radar', 'measure', 'ability', 'target', 'radar', 'energy', 'range', 'target', 'radar', 'reduction', 'order', 'detection', 'range', 'target', 'aim', 'step', '3d', 'target', '3d', 'video', 'code', 'matlab', 'range', '3d', 'modelling', 'target', 'purpose', 'radar', 'prediction', 'image', 'opensource']"
